1,/home/hawk/imagenet2014/caffe/data/flickr_style/images/12524447173_a72f96e111.jpg,1,1
0,/home/hawk/imagenet2014/caffe/data/flickr_style/images/9348934289_8549949d29.jpg,0,1
7,/home/hawk/imagenet2014/caffe/data/flickr_style/images/3477751572_df9f7b603a.jpg,7,3
6,/home/hawk/imagenet2014/caffe/data/flickr_style/images/13047788695_699524a40f.jpg,6,4
13,/home/hawk/imagenet2014/caffe/data/flickr_style/images/12955794393_56bcf0c976.jpg,13,7
6,/home/hawk/imagenet2014/caffe/data/flickr_style/images/13107214383_21585ef9c1.jpg,6,9
7,/home/hawk/imagenet2014/caffe/data/flickr_style/images/3676621606_b290487394.jpg,7,7
4,/home/hawk/imagenet2014/caffe/data/flickr_style/images/12743931955_b5523f67c4.jpg,4,7
9,/home/hawk/imagenet2014/caffe/data/flickr_style/images/12328595913_835b2950f5.jpg,9,1
6,/home/hawk/imagenet2014/caffe/data/flickr_style/images/13044111994_83e5783082.jpg,6,6
18,/home/hawk/imagenet2014/caffe/data/flickr_style/images/9690033365_2fc5aa5b1b.jpg,18,18
5,/home/hawk/imagenet2014/caffe/data/flickr_style/images/12903374655_114be49d74.jpg,5,11
14,/home/hawk/imagenet2014/caffe/data/flickr_style/images/9854643244_1ceaf4c4ca.jpg,14,14
16,/home/hawk/imagenet2014/caffe/data/flickr_style/images/12042004774_bae720f116.jpg,16,0
14,/home/hawk/imagenet2014/caffe/data/flickr_style/images/9625047829_4aa631c009.jpg,14,14
5,/home/hawk/imagenet2014/caffe/data/flickr_style/images/6862123079_33c3ab119e.jpg,5,5
14,/home/hawk/imagenet2014/caffe/data/flickr_style/images/8326533228_e6acb850fe.jpg,14,14
3,/home/hawk/imagenet2014/caffe/data/flickr_style/images/2217460800_86ecbffe9c.jpg,3,3
10,/home/hawk/imagenet2014/caffe/data/flickr_style/images/8668454044_abc3642680.jpg,10,10
16,/home/hawk/imagenet2014/caffe/data/flickr_style/images/12930862004_cfaea422de.jpg,16,2
0,/home/hawk/imagenet2014/caffe/data/flickr_style/images/9968129946_ae53f14b41.jpg,0,0
0,/home/hawk/imagenet2014/caffe/data/flickr_style/images/10511030704_209bcb6ee3.jpg,0,0
1,/home/hawk/imagenet2014/caffe/data/flickr_style/images/12836916285_1cc3452562.jpg,1,15
15,/home/hawk/imagenet2014/caffe/data/flickr_style/images/13065379543_a15260ecf6.jpg,15,11
15,/home/hawk/imagenet2014/caffe/data/flickr_style/images/3227553108_9777b27553.jpg,15,15
